epoch,loss_moyenne
1,0.177919
2,0.078466
3,0.065568
4,0.054994
5,0.048334
6,0.043311
7,0.044631
8,0.04306
9,0.041179
10,0.040127
11,0.04132
12,0.039674
13,0.035587
14,0.038388
15,0.036685
16,0.037491
17,0.036404
18,0.037853
19,0.034721
20,0.033142
21,0.032901
22,0.033581
23,0.03508
24,0.035778
25,0.030693
26,0.033926
27,0.029547
28,0.035638
29,0.028594
30,0.031529
31,0.034371
32,0.030124
33,0.030722
34,0.029454
35,0.033597
36,0.031385
37,0.033683
38,0.02991
39,0.029252
40,0.029059
41,0.033388
42,0.030572
43,0.028952
44,0.029257
45,0.028789
46,0.030935
47,0.027028
48,0.028666
49,0.028535
50,0.026999
